Feature,Importance
ch1_real_band_22_kurtosis,0.00020206050527431764
ch1_mgd_band_15_std,0.00020122158064959114
ch1_imag_band_31_kurtosis,0.0002011433115986304
ch1_imag_band_0_std,0.00020069526750555143
ch0_imag_band_0_skew,0.00020029082320315763
ch0_real_band_29_kurtosis,0.00020010410383848669
ch1_real_band_33_std,0.00020008640612027026
ch1_mfcc_18_mean,0.0001972930362056587
ch1_cqcc_19_mean,0.00019691985648849944
ch0_mgd_band_26_std,0.00019672075815394268
ch1_mfcc_7_std,0.0001954248115960003
ch0_cqcc_3_mean,0.00019424590100205563
ch1_cqcc_2_std,0.0001933182891057074
ch0_mag_band_12_mean,0.0001933131388463247
ch1_lfcc_11_std,0.00019252740225805812
ch1_mag_band_27_std,0.00019218654474588702
ch0_real_band_18_kurtosis,0.00019204910756731458
ch0_mfcc_5_skew,0.0001919108686649506
ch0_imag_band_22_kurtosis,0.0001911951240756049
ch1_cqcc_3_mean,0.00019070379587162505
ch1_real_band_24_kurtosis,0.00019038030189938074
ch1_cqcc_4_std,0.00018988054073269028
ch0_cqcc_2_std,0.0001893546750575728
ch1_mgd_band_21_std,0.0001893469429959174
ch0_mfcc_1_kurtosis,0.00018851280069005788
ch1_mag_band_26_std,0.00018751128148706913
ch0_mag_band_10_mean,0.0001868889135856258
ch0_mfcc_6_std,0.0001863966733781169
ch0_mgd_band_25_std,0.00018439300601079213
ch1_phase_band_34_kurtosis,0.00018418745518576613
ch1_mfcc_5_mean,0.00018404743095313473
ch0_imag_band_31_std,0.00018398997773326636
ch1_mfcc_4_mean,0.0001827627407445673
ch0_imag_band_9_kurtosis,0.0001826264359633731
ch0_lfcc_3_mean,0.00018202915563318746
ch1_real_band_16_std,0.00018163990066811158
ch1_real_band_30_kurtosis,0.00017933111237385569
ch1_mag_band_23_skew,0.0001792815058131605
ch0_real_band_21_kurtosis,0.00017874027882577124
ch1_mfcc_3_mean,0.00017838784200190826
ch1_real_band_18_kurtosis,0.0001774974614464668
ch1_phase_band_29_kurtosis,0.00017704986194723343
ch0_lfcc_2_skew,0.00017694209967787717
ch0_cqcc_5_mean,0.00017657650413183424
ch0_cqcc_10_mean,0.000176414761503489
ch1_cqcc_2_mean,0.0001763692899365156
ch1_mgd_band_23_std,0.00017616771862752237
ch0_imag_band_28_std,0.00017544945905378893
ch1_lfcc_2_kurtosis,0.00017537354743990243
ch1_mfcc_1_mean,0.00017478776122312916
ch0_phase_band_0_skew,0.00017383457524275338
ch0_phase_band_34_kurtosis,0.0001735600048872936
ch1_mag_band_25_skew,0.00017336210602757285
ch0_cqcc_0_skew,0.00017307432615636367
ch1_imag_band_23_kurtosis,0.00017296398883517663
ch1_mgd_band_20_std,0.000172103790553138
ch0_real_band_9_kurtosis,0.00017207835563828633
ch0_phase_band_38_std,0.0001718811817016812
ch1_cqcc_8_std,0.00017162389602254523
ch0_lfcc_7_std,0.00017130139263935737
ch1_cqcc_6_mean,0.00017095541805206248
ch1_imag_band_20_std,0.00017039815622539494
ch1_phase_band_39_mean,0.00017023551787602033
ch0_mfcc_7_skew,0.00016990872739203324
ch1_mag_band_23_kurtosis,0.00016957297960805306
ch0_mag_band_21_skew,0.00016935321688186622
ch1_lfcc_6_mean,0.0001693490466312877
ch1_phase_band_35_kurtosis,0.00016921753655895638
ch0_mag_band_22_kurtosis,0.00016872040792835423
ch0_mfcc_10_mean,0.00016795946572774695
ch1_mfcc_14_mean,0.0001676204458412145
ch0_mag_band_15_skew,0.00016733171504180775
ch0_imag_band_18_std,0.00016721092383387568
ch0_mgd_band_22_std,0.00016639174391466796
ch1_phase_band_37_kurtosis,0.00016560172470537866
ch0_mgd_band_15_std,0.00016484155460236738
ch0_mag_band_13_std,0.00016443966465464008
ch0_mgd_band_38_skew,0.00016432152434622346
ch0_lfcc_3_skew,0.00016426142350765304
ch1_real_band_27_std,0.00016307319617185663
ch1_mag_band_26_mean,0.00016239891835784974
ch0_lfcc_13_std,0.000161989370492903
ch0_mgd_band_0_std,0.00016136954568140194
ch0_mfcc_15_mean,0.00016132114683700227
ch0_real_band_21_std,0.0001609997662210931
